corpus,language,age_subset,n_episodes_in_subset,n_cues_in_regression,spec,predictor,beta,se,stat,p,p_naive,se_naive
Brown,English,all,7487,76,A_cue,const,-0.3117559724419487,0.09068321327004134,-3.4378575835594294,0.0010049695751066991,,
Brown,English,all,7487,76,A_cue,logFreq_z,0.5640175251883968,0.11167366776662262,5.0505865569588835,3.5262749116358564e-06,,
Brown,English,all,7487,76,A_cue,COI_z,0.023706550711003305,0.11208385971624116,0.21150726581882853,0.8331240920718683,,
Brown,English,all,7487,76,A_cue,COI_x_logFreq,0.4695221500387036,0.07371592763726892,6.369344659800836,1.9026382995465694e-08,,
Brown,English,all,7487,76,A_cue,R_between_z,-0.06299519488967167,0.1006352954850064,-0.6259751569871159,0.5334267966513437,,
Brown,English,all,7487,76,A_cue,R_within_proxy_z,-0.06065918939282527,0.0972896241227125,-0.6234908392318913,0.5350478576633172,,
Brown,English,all,7487,76,A_cue,COI_x_R_between,-0.12977816816112367,0.12779752408467143,-1.015498297722419,0.3134680155481137,,
Brown,English,all,7487,76,A_cue,COI_x_R_within,-0.16424751804135213,0.10940766066158128,-1.5012433046110085,0.13792207419187186,,
Brown,English,all,7487,76,B_episode,const,-0.22813901912077572,0.10332611806010178,-2.2079511299173546,0.027247680041453025,0.0,0.0037626849484620017
Brown,English,all,7487,76,B_episode,logFreq_z,1.0076839317966093,0.17389367638057449,5.794827924571827,6.839126711689049e-09,0.0,0.004748051997777027
Brown,English,all,7487,76,B_episode,COI_z,0.08193900069072499,0.1491298934829883,0.5494471884677636,0.5826985978412615,2.20760279132502e-56,0.005158750036210868
Brown,English,all,7487,76,B_episode,COI_x_logFreq,0.3123211816357874,0.0688658575841037,4.535210808263869,5.754597837432683e-06,0.0,0.0029991160470975928
Brown,English,all,7487,76,B_episode,R_between_z,-0.21099917460838985,0.09304308412944996,-2.2677577445178914,0.023343976176550874,0.0,0.003286961010255002
Brown,English,all,7487,76,B_episode,R_within_z,9.73613550891983e-17,2.136440327769066e-16,0.4557176431455303,0.6485930331842064,0.999999999999974,0.0029862982639981884
Brown,English,all,7487,76,B_episode,COI_x_R_between,-0.1450659116309427,0.058257055331842694,-2.4901003115351625,0.01277070455625812,0.0,0.0025542637723804597
Brown,English,all,7487,76,B_episode,COI_x_R_within,1.1058862159352145e-17,6.1980132220389e-17,0.1784259207455227,0.8583884940982826,0.999999999999997,0.0029252010651620625
Brown,English,pre-24,704,22,A_cue,const,-0.30102673487877774,0.11815905733240382,-2.5476399496987563,0.023223434019702324,,
Brown,English,pre-24,704,22,A_cue,logFreq_z,0.4897314730704435,0.18096455571550274,2.706228692873748,0.017047403087124626,,
Brown,English,pre-24,704,22,A_cue,COI_z,0.08195288751798391,0.1598924400555429,0.512550108619991,0.6162568720053531,,
Brown,English,pre-24,704,22,A_cue,COI_x_logFreq,0.5462196306866497,0.11800712800573882,4.628700315968087,0.00039056076235922206,,
Brown,English,pre-24,704,22,A_cue,R_between_z,-0.12444898135841999,0.14347250531113476,-0.8674064838314469,0.4003430308419854,,
Brown,English,pre-24,704,22,A_cue,R_within_proxy_z,0.03190759315946501,0.13851145347383276,0.2303606839667805,0.8211435938635739,,
Brown,English,pre-24,704,22,A_cue,COI_x_R_between,-0.2587631682462861,0.1752289806113488,-1.4767144529603407,0.16189032496750255,,
Brown,English,pre-24,704,22,A_cue,COI_x_R_within,-0.1467812767983459,0.21076443091462171,-0.6964233773288119,0.49756425189711184,,
Brown,English,pre-24,704,22,B_episode,const,-0.31742532855256345,0.10666042881202924,-2.9760364934587997,0.0029200011234838947,3.179414530060501e-105,0.013078251464810776
Brown,English,pre-24,704,22,B_episode,logFreq_z,1.094360290495832,0.16521952694810987,6.623674033636081,3.5037896411914e-11,0.0,0.01700321415579967
Brown,English,pre-24,704,22,B_episode,COI_z,0.24101978594526524,0.12455060000538525,1.9351154144166642,0.05297613437066423,1.9012124561772993e-35,0.01873940853857978
Brown,English,pre-24,704,22,B_episode,COI_x_logFreq,0.5154172019670983,0.09884603220095525,5.214343868848964,1.8446899666397242e-07,1.849431068235515e-224,0.012657236912998077
Brown,English,pre-24,704,22,B_episode,R_between_z,-0.5358983189427742,0.12117780289324558,-4.4224132320247325,9.760455124338661e-06,1.5222101530003107e-161,0.01669493190803868
Brown,English,pre-24,704,22,B_episode,R_within_z,-3.9898639947466563e-17,5.172397430376491e-17,-0.7713761458690231,0.44048400999334214,0.9999999999999962,0.008423022692856889
Brown,English,pre-24,704,22,B_episode,COI_x_R_between,-0.3902720542177685,0.08799990913942095,-4.434914286098279,9.210892891026964e-06,1.0682559658301463e-163,0.012047896012774251
Brown,English,pre-24,704,22,B_episode,COI_x_R_within,6.938893903907228e-18,2.6046212517940247e-17,0.2664070217167974,0.7899257580287193,0.9999999999999993,0.008475226675652621
Brown,English,post-24,6776,76,A_cue,const,-0.31094060654874583,0.09062095846080344,-3.4312217816945507,0.001026125908115361,,
Brown,English,post-24,6776,76,A_cue,logFreq_z,0.5669224777004938,0.1113036635842008,5.093475447657831,2.994649170679023e-06,,
Brown,English,post-24,6776,76,A_cue,COI_z,0.022929382527924952,0.1113977967513642,0.2058333575402976,0.8375360758789674,,
Brown,English,post-24,6776,76,A_cue,COI_x_logFreq,0.4642819783899037,0.0731254890660168,6.349112796644075,2.0663379840039727e-08,,
Brown,English,post-24,6776,76,A_cue,R_between_z,-0.07172842920752767,0.1020519858456869,-0.7028616700902659,0.4845413286242003,,
Brown,English,post-24,6776,76,A_cue,R_within_proxy_z,-0.07125145089901169,0.09903710557924905,-0.7194419756340374,0.4743340124015915,,
Brown,English,post-24,6776,76,A_cue,COI_x_R_between,-0.1278980600878853,0.1257899872774386,-1.0167586693986794,0.31287228947461665,,
Brown,English,post-24,6776,76,A_cue,COI_x_R_within,-0.1629601399827775,0.11050799217945446,-1.4746457407184246,0.1449228265783498,,
Brown,English,post-24,6776,76,B_episode,const,-0.22217249894201507,0.10732057819667214,-2.0701761272182964,0.03843585398036915,0.0,0.003979828983669967
Brown,English,post-24,6776,76,B_episode,logFreq_z,0.9947570932919929,0.1792869916680479,5.5484064071630925,2.882851375890479e-08,0.0,0.005012493027768575
Brown,English,post-24,6776,76,B_episode,COI_z,0.07688278373012927,0.16305812298983582,0.47150538912386314,0.6372798721277684,8.257138537661077e-45,0.00545579999823888
Brown,English,post-24,6776,76,B_episode,COI_x_logFreq,0.299891117003796,0.0710423650716928,4.221299737152039,2.4289769457775254e-05,0.0,0.003142294934049162
Brown,English,post-24,6776,76,B_episode,R_between_z,-0.1985056085811533,0.09394693281927097,-2.112954650292049,0.034604649591147535,0.0,0.003512926121981837
Brown,English,post-24,6776,76,B_episode,R_within_z,6.591949208711867e-17,2.2119197435746186e-16,0.2980193665643045,0.7656883824862153,0.9999999999999835,0.0031721779506850086
Brown,English,post-24,6776,76,B_episode,COI_x_R_between,-0.13283241595248502,0.057460773631366924,-2.3117060136477856,0.020793889771770626,0.0,0.0027043737959691386
Brown,English,post-24,6776,76,B_episode,COI_x_R_within,6.852157730108388e-17,1.4758313577923298e-16,0.4642913767842967,0.6424390012901303,0.9999999999999823,0.0031037542469665633
Manchester,English-Manchester,all,30325,102,A_cue,const,-0.33607695391187076,0.09194508440480893,-3.655192184415388,0.00042322254150640087,,
Manchester,English-Manchester,all,30325,102,A_cue,logFreq_z,0.7410989170719431,0.11247425757975539,6.5890536467549525,2.537588888448492e-09,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_z,-0.1795185304817008,0.11409866626238727,-1.573362216775353,0.11899491404012669,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_x_logFreq,0.4317189269144297,0.07761466246675665,5.562337233629541,2.4923169699278426e-07,,
Manchester,English-Manchester,all,30325,102,A_cue,R_between_z,0.052416614391999086,0.10433612261741529,0.502382234235432,0.6165735629000217,,
Manchester,English-Manchester,all,30325,102,A_cue,R_within_proxy_z,0.07532242943866384,0.07832114201047018,0.9617126040960248,0.3386613821837703,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_x_R_between,0.06342081626952853,0.08976537354414306,0.7065175998887887,0.4816139238917498,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_x_R_within,0.06389352856415997,0.07874305910900017,0.8114179114595393,0.41917559528559684,,
Manchester,English-Manchester,all,30325,102,B_episode,const,-0.12323976883028082,0.11689982554702778,-1.0542339841277395,0.2917758045342277,0.0,0.001670196134681987
Manchester,English-Manchester,all,30325,102,B_episode,logFreq_z,0.8711351126834563,0.15710133471665716,5.54505226995434,2.938663701742725e-08,0.0,0.0017789290746369926
Manchester,English-Manchester,all,30325,102,B_episode,COI_z,0.16424935829228599,0.11327147624325741,1.4500504781940906,0.14704444332804958,0.0,0.0021269102524445038
Manchester,English-Manchester,all,30325,102,B_episode,COI_x_logFreq,0.24479136461218914,0.06941396949275756,3.5265432361958484,0.00042102241603049115,0.0,0.0013500550507450676
Manchester,English-Manchester,all,30325,102,B_episode,R_between_z,0.0597298879435205,0.06204470234919482,0.9626911836461673,0.3357025224142185,9.363056896058098e-289,0.001638281600571745
Manchester,English-Manchester,all,30325,102,B_episode,R_within_z,5.195496810550537e-16,2.3154668189375053e-16,2.2438226141087987,0.024843816788075276,0.9999999999997263,0.0015148203797486028
Manchester,English-Manchester,all,30325,102,B_episode,COI_x_R_between,0.018921611770998856,0.027643491375672492,0.6844870466561515,0.4936676661409196,3.0272601963725753e-89,0.0009435358227800841
Manchester,English-Manchester,all,30325,102,B_episode,COI_x_R_within,1.1826477297471882e-15,4.5835976074537e-16,2.58017354713687,0.009875067405576173,0.9999999999993784,0.0015179072173407008
Manchester,English-Manchester,pre-24,2685,55,A_cue,const,-0.17157435024615317,0.09771496679135833,-1.7558656148602076,0.085626573190401,,
Manchester,English-Manchester,pre-24,2685,55,A_cue,logFreq_z,0.7186398968975477,0.10444078844549905,6.880835615986945,1.2393722369322787e-08,,
Manchester,English-Manchester,pre-24,2685,55,A_cue,COI_z,-0.056410291883024447,0.11015658929416494,-0.5120918525571355,0.6109847574519718,,
Manchester,English-Manchester,pre-24,2685,55,A_cue,COI_x_logFreq,0.39020062770960284,0.10638557232769692,3.6677964800309315,0.0006223124060216508,,
Manchester,English-Manchester,pre-24,2685,55,A_cue,R_between_z,0.04058736918467758,0.09553443356857831,0.42484544753743053,0.6728880565422344,,
Manchester,English-Manchester,pre-24,2685,55,A_cue,R_within_proxy_z,0.048926575436458425,0.10744096747289218,0.4553810021191666,0.6509320000601809,,
Manchester,English-Manchester,pre-24,2685,55,A_cue,COI_x_R_between,-0.014678201587271858,0.10094878986781118,-0.14540245213927216,0.885014920949325,,
Manchester,English-Manchester,pre-24,2685,55,A_cue,COI_x_R_within,0.032890969177071364,0.1104723537045173,0.2977303196150371,0.7672211264930003,,
Manchester,English-Manchester,pre-24,2685,55,B_episode,const,-0.11201432823459352,0.11315239017495173,-0.989942219173642,0.32220236198228835,3.7241981861537286e-73,0.00610719770136426
Manchester,English-Manchester,pre-24,2685,55,B_episode,logFreq_z,0.8181411617084977,0.14005651343488842,5.841507414711187,5.173057582305426e-09,0.0,0.0060460070500565535
Manchester,English-Manchester,pre-24,2685,55,B_episode,COI_z,0.23794680148782923,0.11135576254109242,2.1368162370584307,0.032612940958765727,1.5474150146391072e-207,0.007437438264165512
Manchester,English-Manchester,pre-24,2685,55,B_episode,COI_x_logFreq,0.29368366777143956,0.08995568492429791,3.26475939812574,0.0010955709544407653,0.0,0.005977230912214348
Manchester,English-Manchester,pre-24,2685,55,B_episode,R_between_z,0.10706016600600406,0.07122602938663654,1.5031045100780354,0.13281209599236177,1.143975950710408e-70,0.005944511020461175
Manchester,English-Manchester,pre-24,2685,55,B_episode,R_within_z,-8.673617379884035e-17,4.362221087981228e-16,-0.198834887204171,0.8423919047839156,0.9999999999999872,0.005410890132137908
Manchester,English-Manchester,pre-24,2685,55,B_episode,COI_x_R_between,0.05652369028351858,0.04761964887324827,1.1869825087112813,0.23523451992839928,3.5650891931307526e-39,0.004285839090807707
Manchester,English-Manchester,pre-24,2685,55,B_episode,COI_x_R_within,-1.448494102440634e-16,2.7011051715497243e-16,-0.5362597938419329,0.5917790137900631,0.9999999999999778,0.005210672097709544
Manchester,English-Manchester,post-24,27640,101,A_cue,const,-0.3309867899450847,0.09170038374286506,-3.6094373484106366,0.0004966982622935897,,
Manchester,English-Manchester,post-24,27640,101,A_cue,logFreq_z,0.7449190239046884,0.11159397853621385,6.675261816774025,1.7657592440010882e-09,,
Manchester,English-Manchester,post-24,27640,101,A_cue,COI_z,-0.17776252922443522,0.11272552290751486,-1.5769501408326105,0.11820267100476765,,
Manchester,English-Manchester,post-24,27640,101,A_cue,COI_x_logFreq,0.4311070862711376,0.07744249308145731,5.5668027863937795,2.4941149330570803e-07,,
Manchester,English-Manchester,post-24,27640,101,A_cue,R_between_z,0.03029018997107089,0.1052381757020316,0.2878251144986937,0.7741210433076792,,
Manchester,English-Manchester,post-24,27640,101,A_cue,R_within_proxy_z,0.08302417314847477,0.0803540971476023,1.0332288719014266,0.30417621121394756,,
Manchester,English-Manchester,post-24,27640,101,A_cue,COI_x_R_between,0.04356687539522933,0.08850792249908605,0.49223701297111805,0.6237118028848615,,
Manchester,English-Manchester,post-24,27640,101,A_cue,COI_x_R_within,0.06057627475383086,0.07719283318209484,0.7847396222772887,0.43460067907476063,,
Manchester,English-Manchester,post-24,27640,101,B_episode,const,-0.1233919514535526,0.11715820350554754,-1.0532079509712684,0.2922456952062492,0.0,0.0017329489522611705
Manchester,English-Manchester,post-24,27640,101,B_episode,logFreq_z,0.8723110281014358,0.1571813034506513,5.549712395503241,2.8613992984366702e-08,0.0,0.0018515158218284397
Manchester,English-Manchester,post-24,27640,101,B_episode,COI_z,0.15985014127414793,0.11520045241262386,1.3875825825891572,0.16526418818830635,0.0,0.0022100710290847447
Manchester,English-Manchester,post-24,27640,101,B_episode,COI_x_logFreq,0.24301145728339807,0.06946205472776448,3.4984778126101794,0.0004679220200000422,0.0,0.0013960873193563292
Manchester,English-Manchester,post-24,27640,101,B_episode,R_between_z,0.0574760332608655,0.06134547302350235,0.9369237928745873,0.34879775941122126,1.2311623270768474e-249,0.0016969459700947496
Manchester,English-Manchester,post-24,27640,101,B_episode,R_within_z,-3.664603343001005e-16,2.865668801481222e-16,-1.2787951423789188,0.20096920495876214,0.9999999999998143,0.0015741267260724104
Manchester,English-Manchester,post-24,27640,101,B_episode,COI_x_R_between,0.017278826933348552,0.025907297011177787,0.6669482704387705,0.5048051764567714,1.9010389133343385e-74,0.0009455246653087358
Manchester,English-Manchester,post-24,27640,101,B_episode,COI_x_R_within,-5.204170427930421e-17,2.0753990724940493e-16,-0.2507551678567758,0.8020034051472111,0.9999999999999737,0.001580699139324935
English-UK,English-UK,all,125335,135,A_cue,const,-0.2726606097652648,0.08798344921261411,-3.0989988708714282,0.002391445337577026,,
English-UK,English-UK,all,125335,135,A_cue,logFreq_z,0.5943524106011808,0.09741701611325654,6.101114921341767,1.1804514656404595e-08,,
English-UK,English-UK,all,125335,135,A_cue,COI_z,-0.11974893596195466,0.09924624597306866,-1.2065840353744923,0.22983512533765488,,
English-UK,English-UK,all,125335,135,A_cue,COI_x_logFreq,0.3964081763323435,0.08389980495434914,4.724780666034132,6.009445815443583e-06,,
English-UK,English-UK,all,125335,135,A_cue,R_between_z,0.07068715320283014,0.08501039165384335,0.8315119108104281,0.407245172492879,,
English-UK,English-UK,all,125335,135,A_cue,R_within_proxy_z,0.08507966776771483,0.09336762837373098,0.9112330392195335,0.3638989562677872,,
English-UK,English-UK,all,125335,135,A_cue,COI_x_R_between,-0.04405786627264267,0.06719971479496288,-0.6556257925657913,0.513250858925998,,
English-UK,English-UK,all,125335,135,A_cue,COI_x_R_within,0.02839618108509939,0.07494127180170088,0.37891245240990035,0.7053856073821819,,
English-UK,English-UK,all,125335,135,B_episode,const,-0.08835337087747147,0.14209149431308044,-0.6218061911770463,0.5340693148258362,0.0,0.0007887399572987171
English-UK,English-UK,all,125335,135,B_episode,logFreq_z,0.8102239574859488,0.17313164298047862,4.679814409069665,2.871347172137092e-06,0.0,0.0008246091842284138
English-UK,English-UK,all,125335,135,B_episode,COI_z,0.24127519801740616,0.1178751274112496,2.04687115353548,0.04067073707685337,0.0,0.0009676758486373188
English-UK,English-UK,all,125335,135,B_episode,COI_x_logFreq,0.25737838752905273,0.0826525626316067,3.1139795226461633,0.0018458229989963958,0.0,0.0007062320090141458
English-UK,English-UK,all,125335,135,B_episode,R_between_z,0.028930133082000986,0.06579346775115898,0.43971132805188506,0.6601461969608045,4.953014681728418e-307,0.000771725582418624
English-UK,English-UK,all,125335,135,B_episode,R_within_z,-4.163336342344337e-17,7.387906138130659e-15,-0.005635340060502953,0.9955036729692162,0.9999999999999557,0.0007498027792351937
English-UK,English-UK,all,125335,135,B_episode,COI_x_R_between,0.013499253115525866,0.03268783674953452,0.41297480830444055,0.6796250707384567,2.873694149867709e-97,0.0006448064914530912
English-UK,English-UK,all,125335,135,B_episode,COI_x_R_within,7.892991815694472e-17,1.5258414397509575e-15,0.05172878131414978,0.9587448037620357,0.9999999999999162,0.0007510793081599841
English-UK,English-UK,pre-24,3236,69,A_cue,const,-0.12046730142096063,0.09139312385439674,-1.3181221555888987,0.1923911917609825,,
English-UK,English-UK,pre-24,3236,69,A_cue,logFreq_z,0.7403999159677715,0.09564892209522885,7.740807734671838,1.2289958192497675e-10,,
English-UK,English-UK,pre-24,3236,69,A_cue,COI_z,0.01645844709727161,0.09451326948210632,0.1741390091302216,0.8623328602817976,,
English-UK,English-UK,pre-24,3236,69,A_cue,COI_x_logFreq,0.34657270026573933,0.09819945532751427,3.5292731421966854,0.0007991090838684301,,
English-UK,English-UK,pre-24,3236,69,A_cue,R_between_z,-0.011083679206796173,0.09457982871539873,-0.11718861576867728,0.9070955873291822,,
English-UK,English-UK,pre-24,3236,69,A_cue,R_within_proxy_z,-0.07717532863282563,0.11252965952456326,-0.6858221108896149,0.49542368244682106,,
English-UK,English-UK,pre-24,3236,69,A_cue,COI_x_R_between,-0.0461928887559806,0.0995131313853511,-0.4641888775171279,0.6441648362906237,,
English-UK,English-UK,pre-24,3236,69,A_cue,COI_x_R_within,-0.050783242762753554,0.0809085637809378,-0.6276621458792743,0.5325679780484333,,
English-UK,English-UK,pre-24,3236,69,B_episode,const,-0.05207066758721076,0.14712709714980485,-0.3539162302250305,0.7234016633101188,2.192872136408789e-22,0.005335455928404454
English-UK,English-UK,pre-24,3236,69,B_episode,logFreq_z,0.7752379681149009,0.16910234447056685,4.5844306330704665,4.552251786336443e-06,0.0,0.005366703684174147
English-UK,English-UK,pre-24,3236,69,B_episode,COI_z,0.25731660885074475,0.11573329684155112,2.2233584964146784,0.026191635962691442,0.0,0.006329746824151273
English-UK,English-UK,pre-24,3236,69,B_episode,COI_x_logFreq,0.24808182147175825,0.09612167082997689,2.580914577635395,0.009853896100494633,0.0,0.005787922204201404
English-UK,English-UK,pre-24,3236,69,B_episode,R_between_z,0.0434840551221603,0.06302232816709827,0.6899785581844277,0.4902076714195652,1.3160574480400384e-16,0.00524618071970179
English-UK,English-UK,pre-24,3236,69,B_episode,R_within_z,3.469446951953614e-17,3.8946953384274905e-17,0.8908134399427573,0.3730292637057795,0.9999999999999946,0.0051399910561535644
English-UK,English-UK,pre-24,3236,69,B_episode,COI_x_R_between,0.012049996506484199,0.046705525329361744,0.2579993784784364,0.7964073868940998,0.002470106896892735,0.0039796979623242254
English-UK,English-UK,pre-24,3236,69,B_episode,COI_x_R_within,4.2500725161431774e-17,2.2652230535923273e-17,1.8762269390659592,0.060624124441186505,0.9999999999999932,0.0049950580705620026
English-UK,English-UK,post-24,95587,134,A_cue,const,-0.2723966860494397,0.08859637032642449,-3.074580652072102,0.002585111381668355,,
English-UK,English-UK,post-24,95587,134,A_cue,logFreq_z,0.5931005578977865,0.09924420961844507,5.9761729190854025,2.18639933672096e-08,,
English-UK,English-UK,post-24,95587,134,A_cue,COI_z,-0.10773685836095098,0.09835588110595371,-1.0953778986016263,0.27544047398642924,,
English-UK,English-UK,post-24,95587,134,A_cue,COI_x_logFreq,0.3942396284217679,0.0827969798916238,4.761521844610801,5.187746451097543e-06,,
English-UK,English-UK,post-24,95587,134,A_cue,R_between_z,0.048768482716239056,0.08252989233829532,0.5909190153348791,0.5556332030574157,,
English-UK,English-UK,post-24,95587,134,A_cue,R_within_proxy_z,0.03361100842476083,0.095182667499204,0.3531211018544097,0.7245877334394252,,
English-UK,English-UK,post-24,95587,134,A_cue,COI_x_R_between,-0.008228654374325777,0.07444477839866545,-0.11053366738846106,0.9121620184307047,,
English-UK,English-UK,post-24,95587,134,A_cue,COI_x_R_within,0.03893710275098901,0.08625481862591516,0.4514194496177446,0.6524632855762743,,
English-UK,English-UK,post-24,95587,134,B_episode,const,-0.08968440909687413,0.14073253734052998,-0.6372684724632307,0.5239499833662533,0.0,0.0008988363970572176
English-UK,English-UK,post-24,95587,134,B_episode,logFreq_z,0.8176234819383653,0.17395447282654505,4.700215341709787,2.5988729175921384e-06,0.0,0.0009557012988407357
English-UK,English-UK,post-24,95587,134,B_episode,COI_z,0.23686987536408657,0.11896208215725133,1.9911376050982155,0.04646576118755366,0.0,0.0010970022130867786
English-UK,English-UK,post-24,95587,134,B_episode,COI_x_logFreq,0.2624369185731506,0.08461225380179961,3.101641981880039,0.0019245055734050047,0.0,0.0007985675273877186
English-UK,English-UK,post-24,95587,134,B_episode,R_between_z,0.05783114539158588,0.07037197389416693,0.8217922873466458,0.41119512404191727,0.0,0.0008885488894402787
English-UK,English-UK,post-24,95587,134,B_episode,R_within_z,9.27534958561349e-17,3.671746369065589e-16,0.2526141147372863,0.8005664217298609,0.9999999999999137,0.0008575158487336787
English-UK,English-UK,post-24,95587,134,B_episode,COI_x_R_between,0.025870716632787304,0.036042381700067065,0.7177859900623372,0.4728892530281489,3.111216363965487e-269,0.0007372270054618705
English-UK,English-UK,post-24,95587,134,B_episode,COI_x_R_within,7.025630077706069e-17,5.574655269259616e-16,0.12602806341133915,0.8997097102911532,0.9999999999999348,0.0008600095002856002
