age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
12,aspect_imperf,aspect,34,902,37.694
12,aspect_perf,aspect,3,902,3.326
12,case_acc,case_acc,1,902,1.109
12,case_gen,case_gen,7,902,7.761
12,case_ins,case_ins,2,902,2.217
12,case_nom,case_nom,210,902,232.816
12,prep_в,preposition,1,902,1.109
12,prep_у,preposition,14,902,15.521
15,aspect_imperf,aspect,32,1116,28.674
15,aspect_perf,aspect,6,1116,5.376
15,case_acc,case_acc,2,1116,1.792
15,case_dat,case_dat,3,1116,2.688
15,case_gen,case_gen,6,1116,5.376
15,case_nom,case_nom,131,1116,117.384
15,prep_в,preposition,2,1116,1.792
15,prep_на,preposition,5,1116,4.48
15,prep_по,preposition,1,1116,0.896
15,prep_у,preposition,22,1116,19.713
18,aspect_imperf,aspect,145,3350,43.284
18,aspect_perf,aspect,20,3350,5.97
18,case_acc,case_acc,17,3350,5.075
18,case_gen,case_gen,10,3350,2.985
18,case_nom,case_nom,821,3350,245.075
18,prep_к,preposition,1,3350,0.299
18,prep_на,preposition,45,3350,13.433
18,prep_о,preposition,1,3350,0.299
18,prep_у,preposition,34,3350,10.149
21,aspect_imperf,aspect,195,3435,56.769
21,aspect_perf,aspect,55,3435,16.012
21,case_acc,case_acc,18,3435,5.24
21,case_gen,case_gen,2,3435,0.582
21,case_nom,case_nom,953,3435,277.438
21,prep_в,preposition,5,3435,1.456
21,prep_на,preposition,46,3435,13.392
21,prep_о,preposition,2,3435,0.582
21,prep_у,preposition,28,3435,8.151
24,aspect_imperf,aspect,311,4534,68.593
24,aspect_perf,aspect,73,4534,16.101
24,case_acc,case_acc,30,4534,6.617
24,case_dat,case_dat,10,4534,2.206
24,case_gen,case_gen,12,4534,2.647
24,case_ins,case_ins,1,4534,0.221
24,case_loc,case_loc,8,4534,1.764
24,case_nom,case_nom,1257,4534,277.239
24,prep_в,preposition,17,4534,3.749
24,prep_к,preposition,1,4534,0.221
24,prep_на,preposition,53,4534,11.689
24,prep_о,preposition,3,4534,0.662
24,prep_с,preposition,1,4534,0.221
24,prep_у,preposition,15,4534,3.308
27,aspect_imperf,aspect,922,5271,174.919
27,aspect_perf,aspect,173,5271,32.821
27,case_acc,case_acc,167,5271,31.683
27,case_dat,case_dat,42,5271,7.968
27,case_gen,case_gen,55,5271,10.434
27,case_ins,case_ins,4,5271,0.759
27,case_loc,case_loc,26,5271,4.933
27,case_nom,case_nom,2058,5271,390.438
27,prep_в,preposition,31,5271,5.881
27,prep_для,preposition,7,5271,1.328
27,prep_за,preposition,1,5271,0.19
27,prep_к,preposition,7,5271,1.328
27,prep_на,preposition,54,5271,10.245
27,prep_от,preposition,4,5271,0.759
27,prep_по,preposition,16,5271,3.035
27,prep_про,preposition,1,5271,0.19
27,prep_с,preposition,3,5271,0.569
27,prep_у,preposition,33,5271,6.261
30,aspect_imperf,aspect,1111,4757,233.551
30,aspect_perf,aspect,410,4757,86.189
30,case_acc,case_acc,406,4757,85.348
30,case_dat,case_dat,118,4757,24.806
30,case_gen,case_gen,146,4757,30.692
30,case_ins,case_ins,49,4757,10.301
30,case_loc,case_loc,105,4757,22.073
30,case_nom,case_nom,2581,4757,542.569
30,prep_без,preposition,3,4757,0.631
30,prep_в,preposition,69,4757,14.505
30,prep_для,preposition,8,4757,1.682
30,prep_за,preposition,8,4757,1.682
30,prep_из,preposition,9,4757,1.892
30,prep_к,preposition,20,4757,4.204
30,prep_на,preposition,108,4757,22.703
30,prep_от,preposition,4,4757,0.841
30,prep_по,preposition,32,4757,6.727
30,prep_после,preposition,1,4757,0.21
30,prep_про,preposition,7,4757,1.472
30,prep_с,preposition,19,4757,3.994
30,prep_у,preposition,45,4757,9.46
33,aspect_imperf,aspect,1093,4396,248.635
33,aspect_perf,aspect,373,4396,84.85
33,case_acc,case_acc,410,4396,93.267
33,case_dat,case_dat,75,4396,17.061
33,case_gen,case_gen,205,4396,46.633
33,case_ins,case_ins,69,4396,15.696
33,case_loc,case_loc,106,4396,24.113
33,case_nom,case_nom,2302,4396,523.658
33,prep_бе,preposition,1,4396,0.227
33,prep_без,preposition,1,4396,0.227
33,prep_в,preposition,100,4396,22.748
33,prep_длйа,preposition,3,4396,0.682
33,prep_для,preposition,16,4396,3.64
33,prep_до,preposition,1,4396,0.227
33,prep_за,preposition,3,4396,0.682
33,prep_из,preposition,4,4396,0.91
33,prep_к,preposition,11,4396,2.502
33,prep_на,preposition,87,4396,19.791
33,prep_над,preposition,1,4396,0.227
33,prep_о,preposition,6,4396,1.365
33,prep_около,preposition,4,4396,0.91
33,prep_от,preposition,7,4396,1.592
33,prep_по,preposition,6,4396,1.365
33,prep_под,preposition,5,4396,1.137
33,prep_про,preposition,13,4396,2.957
33,prep_с,preposition,26,4396,5.914
33,prep_у,preposition,85,4396,19.336
36,aspect_imperf,aspect,134,543,246.777
36,aspect_perf,aspect,46,543,84.715
36,case_acc,case_acc,29,543,53.407
36,case_dat,case_dat,12,543,22.099
36,case_gen,case_gen,33,543,60.773
36,case_ins,case_ins,12,543,22.099
36,case_loc,case_loc,7,543,12.891
36,case_nom,case_nom,160,543,294.659
36,prep_без,preposition,1,543,1.842
36,prep_в,preposition,3,543,5.525
36,prep_для,preposition,8,543,14.733
36,prep_к,preposition,1,543,1.842
36,prep_на,preposition,21,543,38.674
36,prep_по,preposition,2,543,3.683
36,prep_под,preposition,1,543,1.842
36,prep_с,preposition,16,543,29.466
36,prep_у,preposition,18,543,33.149
39,aspect_imperf,aspect,57,218,261.468
39,aspect_perf,aspect,50,218,229.358
39,case_acc,case_acc,42,218,192.661
39,case_dat,case_dat,4,218,18.349
39,case_gen,case_gen,6,218,27.523
39,case_ins,case_ins,3,218,13.761
39,case_loc,case_loc,7,218,32.11
39,case_nom,case_nom,111,218,509.174
39,prep_в,preposition,5,218,22.936
39,prep_к,preposition,2,218,9.174
39,prep_на,preposition,9,218,41.284
39,prep_про,preposition,3,218,13.761
39,prep_с,preposition,1,218,4.587
39,prep_у,preposition,3,218,13.761
45,aspect_imperf,aspect,51,82,621.951
45,aspect_perf,aspect,31,82,378.049
45,case_acc,case_acc,10,82,121.951
45,case_dat,case_dat,13,82,158.537
45,case_gen,case_gen,17,82,207.317
45,case_ins,case_ins,1,82,12.195
45,case_loc,case_loc,3,82,36.585
45,case_nom,case_nom,63,82,768.293
45,prep_в,preposition,3,82,36.585
45,prep_из,preposition,2,82,24.39
45,prep_к,preposition,4,82,48.78
45,prep_на,preposition,3,82,36.585
45,prep_про,preposition,1,82,12.195
45,prep_с,preposition,4,82,48.78
45,prep_у,preposition,11,82,134.146
